Benchmark ID,Device,System,Memory,Inference Framework,TC SP,TC HP,TC Q,MT SP,MT HP,MT Q,Link
147279,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2933,3433,1815,3396,3686,1500,https://browser.geekbench.com/ai/v1/147279
147278,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2912,3450,1820,3385,3621,1475,https://browser.geekbench.com/ai/v1/147278
147277,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2910,3456,1844,3408,3629,1442,https://browser.geekbench.com/ai/v1/147277
147276,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2974,3412,1831,3372,3571,1484,https://browser.geekbench.com/ai/v1/147276
147273,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2987,3438,1834,3398,3796,1513,https://browser.geekbench.com/ai/v1/147273
147272,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2880,3446,1822,3470,3653,1502,https://browser.geekbench.com/ai/v1/147272
147271,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2951,3468,1841,3410,3691,1453,https://browser.geekbench.com/ai/v1/147271
147269,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2946,3469,1842,3424,3567,1478,https://browser.geekbench.com/ai/v1/147269
147268,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2880,3379,1832,3407,3876,1489,https://browser.geekbench.com/ai/v1/147268
147265,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2969,3571,1866,3426,3630,1468,https://browser.geekbench.com/ai/v1/147265
147256,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2801,3214,1741,3357,3535,1462,https://browser.geekbench.com/ai/v1/147256
147156,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2940,3463,1856,3435,3627,1483,https://browser.geekbench.com/ai/v1/147156
147152,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2954,3396,1825,3293,3612,1481,https://browser.geekbench.com/ai/v1/147152
147151,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2933,3447,1834,3419,3616,1483,https://browser.geekbench.com/ai/v1/147151
147148,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2995,3537,1842,3426,3685,1509,https://browser.geekbench.com/ai/v1/147148
147144,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2962,3536,1865,3369,3738,1482,https://browser.geekbench.com/ai/v1/147144
147133,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,3043,3443,1830,3434,3628,1500,https://browser.geekbench.com/ai/v1/147133
147122,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2914,3471,1857,3318,2895,1501,https://browser.geekbench.com/ai/v1/147122
147120,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2985,3425,1783,3475,3485,1477,https://browser.geekbench.com/ai/v1/147120
147118,LENOVO 82Y9,AMD Ryzen 5 7640HS,16 GB,ONNX,2921,3466,1829,3491,3618,1481,https://browser.geekbench.com/ai/v1/147118
